i,n,m,k,num_threads,multiplier,iterations,time_us,stddev_us
114,10,1000,1000,4,DefaultMultiplierIJKCached,4,16376.000000,316.000000
115,10,1000,1000,4,DefaultMultiplierJIK,4,22218.500000,322.142822
116,10,1000,1000,4,Collapse2Multiplier,4,12664.500000,1431.586548
117,10,1000,1000,4,Collapse3Multiplier,4,16727.500000,369.908112
118,10,1000,1000,4,DefaultMultiplierIJKTranspose,4,23132.500000,850.091736
119,10,1000,1000,4,DefaultMultiplierIJKTransposeCached,4,16841.250000,1909.211304
120,10,1000,1000,16,DefaultMultiplierIJK,4,17380.500000,1458.667847
121,10,1000,1000,16,DefaultMultiplierIJKCached,4,11145.000000,1530.908203
122,10,1000,1000,16,DefaultMultiplierJIK,4,13252.750000,245.536148
123,10,1000,1000,16,Collapse2Multiplier,4,9045.000000,221.756622
124,10,1000,1000,16,Collapse3Multiplier,4,13562.250000,388.309143
125,10,1000,1000,16,DefaultMultiplierIJKTranspose,4,16338.500000,486.456573
126,10,1000,1000,16,DefaultMultiplierIJKTransposeCached,4,11559.500000,244.671204
127,100,10,10,4,DefaultMultiplierIJK,4,34.000000,26.570660
128,100,10,10,4,DefaultMultiplierIJKCached,4,13.000000,0.000000
129,100,10,10,4,DefaultMultiplierJIK,4,20.750000,0.829156
130,100,10,10,4,Collapse2Multiplier,4,13.000000,0.000000
131,100,10,10,4,Collapse3Multiplier,4,27.500000,18.186533
132,100,10,10,4,DefaultMultiplierIJKTranspose,4,21.000000,2.549510
133,100,10,10,4,DefaultMultiplierIJKTransposeCached,4,14.750000,1.299038
134,100,10,10,16,DefaultMultiplierIJK,4,113.250000,87.625267
135,100,10,10,16,DefaultMultiplierIJKCached,4,60.250000,15.927570
136,100,10,10,16,DefaultMultiplierJIK,4,46.750000,10.304732
137,100,10,10,16,Collapse2Multiplier,4,54.500000,16.575584
138,100,10,10,16,Collapse3Multiplier,4,48.250000,8.011710
139,100,10,10,16,DefaultMultiplierIJKTranspose,4,50.750000,8.525697
140,100,10,10,16,DefaultMultiplierIJKTransposeCached,4,57.250000,8.842370
141,100,10,100,4,DefaultMultiplierIJK,4,168.250000,38.518665
142,100,10,100,4,DefaultMultiplierIJKCached,4,98.000000,11.090536
143,100,10,100,4,DefaultMultiplierJIK,4,169.500000,5.024938
144,100,10,100,4,Collapse2Multiplier,4,98.250000,10.848387
145,100,10,100,4,Collapse3Multiplier,4,131.750000,0.829156
146,100,10,100,4,DefaultMultiplierIJKTranspose,4,143.500000,8.291562
147,100,10,100,4,DefaultMultiplierIJKTransposeCached,4,92.750000,1.299038
148,100,10,100,16,DefaultMultiplierIJK,4,250.750000,158.302521
149,100,10,100,16,DefaultMultiplierIJKCached,4,114.250000,1.639360
150,100,10,100,16,DefaultMultiplierJIK,4,188.750000,15.958932
151,100,10,100,16,Collapse2Multiplier,4,146.750000,13.160072
152,100,10,100,16,Collapse3Multiplier,4,144.250000,5.309190
153,100,10,100,16,DefaultMultiplierIJKTranspose,4,153.750000,12.891373
154,100,10,100,16,DefaultMultiplierIJKTransposeCached,4,155.250000,59.612812
155,100,10,1000,4,DefaultMultiplierIJK,4,1395.500000,57.656311
156,100,10,1000,4,DefaultMultiplierIJKCached,4,892.750000,3.561952
157,100,10,1000,4,DefaultMultiplierJIK,4,1600.000000,116.556854
158,100,10,1000,4,Collapse2Multiplier,4,986.500000,78.874901
159,100,10,1000,4,Collapse3Multiplier,4,1303.500000,49.520199
160,100,10,1000,4,DefaultMultiplierIJKTranspose,4,1401.500000,27.554491
161,100,10,1000,4,DefaultMultiplierIJKTransposeCached,4,964.000000,40.416580
162,100,10,1000,16,DefaultMultiplierIJK,4,1352.000000,253.234085
163,100,10,1000,16,DefaultMultiplierIJKCached,4,777.250000,34.802120
164,100,10,1000,16,DefaultMultiplierJIK,4,1293.250000,178.188797
165,100,10,1000,16,Collapse2Multiplier,4,875.250000,133.190414
166,100,10,1000,16,Collapse3Multiplier,4,1102.250000,97.469223
167,100,10,1000,16,DefaultMultiplierIJKTranspose,4,1039.500000,23.984369
168,100,10,1000,16,DefaultMultiplierIJKTransposeCached,4,776.000000,36.803532
169,100,100,10,4,DefaultMultiplierIJK,4,165.250000,24.681725
170,100,100,10,4,DefaultMultiplierIJKCached,4,110.000000,0.000000
171,100,100,10,4,DefaultMultiplierJIK,4,158.250000,0.829156
172,100,100,10,4,Collapse2Multiplier,4,120.750000,12.517488
173,100,100,10,4,Collapse3Multiplier,4,149.000000,0.000000
174,100,100,10,4,DefaultMultiplierIJKTranspose,4,160.000000,2.000000
175,100,100,10,4,DefaultMultiplierIJKTransposeCached,4,125.500000,7.889867
176,100,100,10,16,DefaultMultiplierIJK,4,226.000000,102.227684
177,100,100,10,16,DefaultMultiplierIJKCached,4,126.250000,5.539630
